filename|param_number|t_stop|t_initial|termination_condition|t_value_change|min_t|max_t|evaluated_t|runtime|avg_t|std_t|avg_runtime|std_runtime
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|0|0.1|1|200|0.1|48|132|73|9.680033683776855|76.2|6.685805860178712|9.779804849624634|0.8325647424680973
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|0|0.1|1|200|0.1|48|132|81|11.220965385437012|76.2|6.685805860178712|9.779804849624634|0.8325647424680973
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|0|0.1|1|200|0.1|48|132|66|9.289997100830078|76.2|6.685805860178712|9.779804849624634|0.8325647424680973
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|0|0.1|1|200|0.1|48|132|82|9.558037281036377|76.2|6.685805860178712|9.779804849624634|0.8325647424680973
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|0|0.1|1|200|0.1|48|132|79|9.149990797042847|76.2|6.685805860178712|9.779804849624634|0.8325647424680973
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|1|0.1|1|200|0.05|48|132|67|21.010310411453247|72.6|6.107372593840989|20.686930704116822|2.273951749801047
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|1|0.1|1|200|0.05|48|132|71|17.650964736938477|72.6|6.107372593840989|20.686930704116822|2.273951749801047
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|1|0.1|1|200|0.05|48|132|72|19.547717094421387|72.6|6.107372593840989|20.686930704116822|2.273951749801047
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|1|0.1|1|200|0.05|48|132|83|21.4626624584198|72.6|6.107372593840989|20.686930704116822|2.273951749801047
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|1|0.1|1|200|0.05|48|132|70|23.762998819351196|72.6|6.107372593840989|20.686930704116822|2.273951749801047
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|2|0.1|0.5|200|0.05|48|132|68|13.740965604782104|76.8|7.19027120489902|14.23520040512085|1.7187611930543587
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|2|0.1|0.5|200|0.05|48|132|81|16.67303490638733|76.8|7.19027120489902|14.23520040512085|1.7187611930543587
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|2|0.1|0.5|200|0.05|48|132|83|12.030000686645508|76.8|7.19027120489902|14.23520040512085|1.7187611930543587
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|2|0.1|0.5|200|0.05|48|132|70|13.760966539382935|76.8|7.19027120489902|14.23520040512085|1.7187611930543587
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|2|0.1|0.5|200|0.05|48|132|82|14.971034288406372|76.8|7.19027120489902|14.23520040512085|1.7187611930543587
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|3|0.1|1|400|0.1|48|132|66|20.43296718597412|70.8|2.7748873851023217|18.604193019866944|1.1495746873541781
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|3|0.1|1|400|0.1|48|132|72|19.020998001098633|70.8|2.7748873851023217|18.604193019866944|1.1495746873541781
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|3|0.1|1|400|0.1|48|132|73|18.09500217437744|70.8|2.7748873851023217|18.604193019866944|1.1495746873541781
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|3|0.1|1|400|0.1|48|132|72|17.759967803955078|70.8|2.7748873851023217|18.604193019866944|1.1495746873541781
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|3|0.1|1|400|0.1|48|132|71|17.712029933929443|70.8|2.7748873851023217|18.604193019866944|1.1495746873541781
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|4|0.1|1|400|0.05|48|132|59|40.50400161743164|65.2|5.630275304103699|35.44000015258789|3.220535549974683
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|4|0.1|1|400|0.05|48|132|69|33.625001430511475|65.2|5.630275304103699|35.44000015258789|3.220535549974683
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|4|0.1|1|400|0.05|48|132|66|35.39099907875061|65.2|5.630275304103699|35.44000015258789|3.220535549974683
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|4|0.1|1|400|0.05|48|132|72|31.912999153137207|65.2|5.630275304103699|35.44000015258789|3.220535549974683
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|4|0.1|1|400|0.05|48|132|60|35.76699948310852|65.2|5.630275304103699|35.44000015258789|3.220535549974683
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|5|0.1|0.5|400|0.05|48|132|70|25.984999179840088|66.8|2.16794833886788|24.14084162712097|2.3291110171697182
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|5|0.1|0.5|400|0.05|48|132|66|26.26500105857849|66.8|2.16794833886788|24.14084162712097|2.3291110171697182
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|5|0.1|0.5|400|0.05|48|132|67|24.23872995376587|66.8|2.16794833886788|24.14084162712097|2.3291110171697182
../instances/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn|5|0.1|0.5|400|0.05|48|132|64|23.767477989196777|66.8|2.16794833886788|24.14084162712097|2.3291110171697182
